BIOLOGICAL_REPLICATE_ID	1
CONTACT_LAB	Walter
CONTACT_PERSON	Kathrin Kattler, kathrin.kattler@googlemail.com
EXPERIMENT_DATE	2014-09-29
EXPERIMENT_ID	01_HepG2_LiHG_Ct1_Input_S_2_emd.tsv
EXPERIMENT_TYPE	ChIP-seq
EXTRACTION_PROTOCOL	PCI (phenol chloroform isoamylalcohol extraction)
EXTRACTION_PROTOCOL_STARTING_NR_CELLS	12,000,000 cells
FULL_LENGTH_PROTOCOL_LINK	no-data
LIBRARY_GENERATION_cDNA_FRAGMENTATION	N/A
LIBRARY_GENERATION_FRAGMENT_SIZE_SELECTION	N/A
LIBRARY_GENERATION_INITIAL_INPUT_QNTY	20 ng
LIBRARY_GENERATION_PCR_F_PRIMER_SEQUENCE	PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_NUMBER_CYCLES	8
LIBRARY_GENERATION_PCR_POLYMERASE_TYPE	Illumina TruSeq PCR Polymerase
LIBRARY_GENERATION_PCR_PRIMER_CONC	5 ul of PPC
LIBRARY_GENERATION_PCR_PRODUCT_ISOLATION_PROTOCOL	Agencourt AMPure XP Beads (Beckman Coulter, A63881)
LIBRARY_GENERATION_PCR_PRODUCT_LENGTH	380 bp
LIBRARY_GENERATION_PCR_R_PRIMER_SEQUENCE	PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_TEMPLATE_CONC	N/A
LIBRARY_GENERATION_PCR_THERMOCYCLING_PROGRAM	x*(10s @ 98°C, 30s @ 60°C, 30s @ 72°C), 5m @ 72°C, hold @ 4°C
LIBRARY_GENERATION_PROTOCOL	modified.TruSeq.ChIP.Sample.Preparation
RNA_cDNA_PREPARATION_INITIAL_RNA_QNTY	no-data
RNA_cDNA_PREPARATION_PCR_NUMBER_CYCLES	no-data
RNA_cDNA_PREPARATION_REVERSE_TRANSCRIPTION_PROTOCOL	no-data
RNA_EXTRACTION_PROTOCOL	no-data
RNA_EXTRACTION_PROTOCOL_FRAGMENTATION	no-data
RNA_PREPARATION_3'_RNA_ADAPTER_LIGATION_PROTOCOL	no-data
RNA_PREPARATION_3'_RNA_ADAPTER_SEQUENCE	no-data
RNA_PREPARATION_5'_DEPHOSPHORYLATION	no-data
RNA_PREPARATION_5'_PHOSPHORYLATION	no-data
RNA_PREPARATION_5'_RNA_ADAPTER_LIGATION_PROTOCOL	no-data
RNA_PREPARATION_5'_RNA_ADAPTER_SEQUENCE	no-data
RNA_PREPARATION_FRAGMENT_SIZE_RANGE	no-data
RNA_PREPARATION_INITIAL_QNTY	no-data
RNA_PREPARATION_REVERSE_TRANSCRIPTION_PRIMER_SEQUENCE	no-data
RNA_PREPARATION_REVERSE_TRANSCRIPTION_PROTOCOL	no-data
RNA_PROTOCOL_ENRICHMENT	no-data
SAMPLE_ID	01_HepG2_LiHG_Ct1
SEQUENCING_CHEMISTRY_VERSION	no-data
SEQUENCING_CLUSTER_GENERATION_KIT_VERSION	no-data
SEQUENCING_CONTROL_SOFTWARE_VERSION	no-data
SEQUENCING_CYCLES	no-data
SEQUENCING_DATE	no-data
SEQUENCING_LANE	no-data
SEQUENCING_PE_TYPE	no-data
SEQUENCING_PLATFORM	no-data
SEQUENCING_PLATFORM_VERSION	no-data
SEQUENCING_PROCESSING_SOFTWARE_VERSION	no-data
SEQUENCING_RUN_TYPE	no-data
TECHNICAL_REPLICATE_ID	2
ChromatinAccessibility_CHROMATIN_AMOUNT	no-data
ChromatinAccessibility_CHROMATIN_STATUS	no-data
ChromatinAccessibility_ENZYME	no-data
ChromatinAccessibility_ENZYME_AMOUNT	no-data
ChromatinAccessibility_ENZYME_LOT	no-data
ChromatinAccessibility_ENZYME_PROVIDER	no-data
ChromatinAccessibility_METHOD	no-data
ChromatinAccessibility_PROTOCOL	no-data
EXTRACTION_PROTOCOL_SONICATION_FRAGMENT_SIZE_RANGE	150-500 bp
LIBRARY_GENERATION_ADAPTOR_LIGATION_PROTOCOL	TruSeq ChIP Sample Prep Kit
LIBRARY_GENERATION_ADAPTOR_SEQUENCE	CTTGTA
CHIP_ANTIBODY	Input
CHIP_ANTIBODY_CATALOG	N/A
CHIP_ANTIBODY_LOT	N/A
CHIP_ANTIBODY_PROVIDER	Diagenode
CHIP_PROTOCOL	HepaRG_modified.ChIP.protocol
CHIP_PROTOCOL_ANTIBODY_AMOUNT	N/A
CHIP_PROTOCOL_BEAD_AMOUNT	N/A
CHIP_PROTOCOL_BEAD_TYPE	magnetic G
CHIP_PROTOCOL_CHROMATIN_AMOUNT	1000000 cells
CHIP_PROTOCOL_DURATION_CROSSLINKING	5 min
CHIP_PROTOCOL_IPSTAR_CONDITIONS	N/A
CHIP_PROTOCOL_PERC_CH2O_CROSSLINKING	1% formaldehyde
CHIP_PROTOCOL_SHEARING_CYCLES	6
CHIP_PROTOCOL_SHEARING_FREQUENCY	30''on / 30'' off
CHIP_PROTOCOL_SHEARING_METHOD	Bioruptor NGS
BISULFITE_CONVERSION_PROTOCOL	no-data
DNA_PREPARATION_FRAGMENT_SIZE_RANGE	no-data
DNA_PREPARATION_INITIAL_DNA_QNTY	no-data
EXTRACTION_PROTOCOL_SONICATION_CYCLES	no-data
EXTRACTION_PROTOCOL_TYPE_OF_SONICATOR	no-data
SEQUENCING_FC_ID	no-data
