EXPERIMENT_ID	01_HepaRG_LiHR_D31_WGBS_S_1
SAMPLE_ID	01_HepaRG_LiHR_D31
TECHNICAL_REPLICATE_ID	1
BIOLOGICAL_REPLICATE_ID	1
CONTACT_PERSON	Gilles Gasparoni, gillesgasparoni@gmail.com
CONTACT_LAB	Walter Lab; j.walter@mx.uni-saarland.de
EXPERIMENT_DATE	2012/12/02
EXPERIMENT_TYPE	DNA Methylation
EXTRACTION_PROTOCOL	Sigma GenElute
EXTRACTION_PROTOCOL_STARTING_NR_CELLS	N/A
EXTRACTION_PROTOCOL_SONICATION_FRAGMENT_SIZE_RANGE	100-500
LIBRARY_GENERATION_ADAPTOR_LIGATION_PROTOCOL	NEBNext Ultra
LIBRARY_GENERATION_ADAPTOR_SEQUENCE	GGTAGC
LIBRARY_GENERATION_PROTOCOL	NEBNext Ultra
LIBRARY_GENERATION_INITIAL_INPUT_QNTY	740 ng
LIBRARY_GENERATION_PCR_F_PRIMER_SEQUENCE	NEBNext Singleplex index primer
LIBRARY_GENERATION_PCR_NUMBER_CYCLES	12
LIBRARY_GENERATION_PCR_POLYMERASE_TYPE	Q5 ® High-Fidelity DNA Polymerase
LIBRARY_GENERATION_PCR_PRIMER_CONC	1 µl of NEBNext Singleplex index primer
LIBRARY_GENERATION_PCR_PRODUCT_ISOLATION_PROTOCOL	Ampure Beads XP
LIBRARY_GENERATION_PCR_R_PRIMER_SEQUENCE	NEBNext Singleplex index primer
LIBRARY_GENERATION_PCR_TEMPLATE_CONC	Everything from library prep
LIBRARY_GENERATION_PCR_THERMOCYCLING_PROGRAM	30s @ 98°C, 12*(10s @ 98°C, 30s @ 65°C, 30s @ 72°C), 5m @ 75°C, hold at 4°C
LIBRARY_GENERATION_PCR_PRODUCT_LENGTH	400
LIBRARY_GENERATION_FRAGMENT_SIZE_SELECTION	200-500
LIBRARY_GENERATION_cDNA_FRAGMENTATION	Bioruptor NGS
SEQUENCING_PLATFORM	Illumina HiSeq 2500
SEQUENCING_PLATFORM_VERSION	2500
SEQUENCING_CYCLES	101
SEQUENCING_PE_TYPE	paired end
SEQUENCING_LANE	2;3;4
SEQUENCING_DATE	2012/12/05
SEQUENCING_RUN_TYPE	Singleplexed PE 2x101 1 Index
SEQUENCING_CHEMISTRY_VERSION	TruSeq SBS Kit v3
SEQUENCING_CLUSTER_GENERATION_KIT_VERSION	TruSeq PE Cluster Kit v3 - cBot - HS
SEQUENCING_PROCESSING_SOFTWARE_VERSION	bcl2fastq 1.8.4
SEQUENCING_CONTROL_SOFTWARE_VERSION	HCS 1.5.15.1 / RTA 1.13.48 / Recipe Fragment 1.3.26
BISULFITE_CONVERSION_PROTOCOL	NEXTflex Bisulfite-Seq Kit
