EXPERIMENT_TYPE	DNA Methylation
CONTACT_PERSON	Gilles Gasparoni, gillesgasparoni@gmail.com
CONTACT_LAB	Walter
SAMPLE_ID	51_Hf01_BlCM_Ct
EXPERIMENT_ID	51_Hf01_BlCM_Ct_WGBS_S_1
EXPERIMENT_DATE	2013-08-15
TECHNICAL_REPLICATE_ID	1
BIOLOGICAL_REPLICATE_ID	1
EXTRACTION_PROTOCOL	Sigma GenElute
EXTRACTION_PROTOCOL_STARTING_NR_CELLS	44x10^6
EXTRACTION_PROTOCOL_SONICATION_CYCLES	7*(15s on, 90s off)
EXTRACTION_PROTOCOL_TYPE_OF_SONICATOR	Bioruptor NGS
EXTRACTION_PROTOCOL_SONICATION_FRAGMENT_SIZE_RANGE	200-900
BISULFITE_CONVERSION_PROTOCOL	Zymo EZ-DNA methylation
BISULFITE_CONVERSION_KIT_PROVIDER	Zymo
BISULFITE_CONVERSION_THERMOCYCLING_PROGRAM	16*(30s @ 95°C, 60m @ 50°C), hold @ 4°C
LIBRARY_GENERATION_ADAPTOR_LIGATION_PROTOCOL	Illumina TruSeq SamplePrep v2
LIBRARY_GENERATION_ADAPTOR_SEQUENCE	CGATGT
LIBRARY_GENERATION_PROTOCOL	Illumina TruSeq SamplePrep v2
LIBRARY_GENERATION_INITIAL_INPUT_QNTY	4000 ng
LIBRARY_GENERATION_PCR_F_PRIMER_SEQUENCE	PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_NUMBER_CYCLES	8
LIBRARY_GENERATION_PCR_POLYMERASE_TYPE	HotFire Pol (Solis BioDyne)
LIBRARY_GENERATION_PCR_PRODUCT_ISOLATION_PROTOCOL	Ampure Beads XP
LIBRARY_GENERATION_PCR_R_PRIMER_SEQUENCE	PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_TEMPLATE_CONC	13.4 ng/µl
LIBRARY_GENERATION_PCR_THERMOCYCLING_PROGRAM	15m @ 95°C, 8*(30s @ 96°C, 30s @ 65°C, 30s @ 72°C), 5m @ 72°C, hold at 4°C
LIBRARY_GENERATION_PCR_PRODUCT_LENGTH	400
LIBRARY_GENERATION_FRAGMENT_SIZE_SELECTION	200-500
SEQUENCING_PLATFORM	Illumina HiSeq 2500
SEQUENCING_PLATFORM_VERSION	Illumina HiSeq 2500
SEQUENCING_CYCLES	100
SEQUENCING_PE_TYPE	paired end
SEQUENCING_LANE	6,7,8
SEQUENCING_DATE	2013-08-15
SEQUENCING_RUN_TYPE	Singleplexed PE 2x100 + 1 Index
SEQUENCING_CHEMISTRY_VERSION	TruSeq SBS Kit v3
SEQUENCING_CLUSTER_GENERATION_KIT_VERSION	TruSeq PE Cluster Kit v3
SEQUENCING_PROCESSING_SOFTWARE_VERSION	bcl2fastq v1.8.4
SEQUENCING_CONTROL_SOFTWARE_VERSION	HCS 2.0.12.0 / RTA 1.17.21.3 / Recipe Fragment 1.3.61.0
BIOMATERIAL_PROVIDER	Julia Polansky-Biskup
BIOMATERIAL_TYPE	primary cell
CELL_TYPE	central memory CD4-positive, alpha-beta T cell
COMMENT	from buffy coats
DEEP_SAMPLE_ID	51_Hf01_BlCM_Ct
DISEASE	healthy
DONOR_HEALTH_STATUS	healthy
DONOR_ID	51_Hf01
DONOR_SEX	female
MARKERS	CD3+ CD4+ CD25neg CD45-RAneg CD62L+
ORGANISM	Homo sapiens
POOL	yes
biosource_name	central memory CD4-positive, alpha-beta T cell
source	DEEP
epigenetic_mark	DNA Methylation
data_type	signal
genome	hs37d5
experiment	51_Hf01_BlCM_Ct_WGBS_S_1.MCSv3.20150424.GRCh37.cpg.filtered.CG.ct_coverage.bedgraph
technique	WGBS
DONOR_AGE_UNIT	year
TISSUE_TYPE	blood
