DEEP_SAMPLE_ID	42_Mf06_LiHe_CS
ORGANISM	Mus musculus
STRAIN	DBA/2J / C57BL/6J (LT2+/p62-)
POOL	no
STATUS	Kupffer cell depleted and steatohepatitis (LDC diet)
DISEASE	healthy
BIOMATERIAL_PROVIDER	Pharmazeutische Biologie, UDS, Saarbruecken / IfADo, Dortmund
BIOMATERIAL_TYPE	primary cell
CELL_TYPE	hepatocyte
MARKERS	none
DONOR_ID	42_Mf06
DONOR_AGE	9
DONOR_HEALTH_STATUS	NA
DONOR_SEX	female
DONOR_ETHNICITY	NA
COMMENT	controlled: p62 expression / F4/80 expression / Lipid content
SORTING_PARAMETERS	none
DONOR_AGE_UNIT	weeks
MOLECULE	genomic DNA, total RNA, cell pellets for ChIP, NOME, DNase1
