BIOMATERIAL_PROVIDER	MPI Freiburg in-house colony
BIOMATERIAL_TYPE	primary tissue
COMMENT	Pool of 10 mice. Due to ordering mistake, mice may be 17 wks of age rather than the expected 10. Only ChIP-Seq performed.
DEEP_SAMPLE_ID	44_Mm02_WEAd_C2
DISEASE	healthy
DONOR_ETHNICITY	no-data
ORGANISM	Mus musculus
STATUS	Photophase (Fasted)
STRAIN	C57BL/6J
CELL_TYPE	white fat cell
DONOR_AGE	17
DONOR_AGE_UNIT	weeks
DONOR_HEALTH_STATUS	no-data
DONOR_ID	44_Mm02
DONOR_SEX	male
MARKERS	no-data
POOL	yes
TISSUE_TYPE	white adipose tissue
SORTING_PARAMETERS	no-data
COLLECTION_METHOD	collagenase digestion & adipocyte purification
TISSUE_DEPOT	epididymal
