BIOMATERIAL_PROVIDER	Julia Polansky-Biskup
BIOMATERIAL_TYPE	primary cell
COMMENT	age is mean of pool
DEEP_SAMPLE_ID	51_Hf04_BlCM_Ct
DISEASE	healthy
DONOR_ETHNICITY	no-data
ORGANISM	Homo sapiens
STATUS	no-data
STRAIN	no-data
CELL_TYPE	central memory CD4-positive, alpha-beta T cell
DONOR_AGE	45
DONOR_AGE_UNIT	year
DONOR_HEALTH_STATUS	healthy
DONOR_ID	51_Hf04
DONOR_SEX	female
MARKERS	CD3+ CD4+ CD25neg CD45-RAneg CCR7+
POOL	yes
TISSUE_TYPE	blood
SORTING_PARAMETERS	no-data
COLLECTION_METHOD	no-data
TISSUE_DEPOT	no-data
