DEEP_SAMPLE_ID	53_Mf01_LPFi_Ct
ORGANISM	Mus musculus
STRAIN	C57BL/6
POOL	no
STATUS	wildtype
DISEASE	healthy
BIOMATERIAL_PROVIDER	Anja Hillmann, Pap Lab
BIOMATERIAL_TYPE	primary cell culture
CELL_TYPE	fibroblast
MARKERS	isolated from the synovium
DONOR_ID	53_Mf01
DONOR_AGE	13
DONOR_HEALTH_STATUS	healthy
DONOR_SEX	female
DONOR_ETHNICITY	NA
COMMENT	sister of 53_Mf02, same caging, only RNA sequencing!
DONOR_AGE_UNIT	weeks
TISSUE_TYPE	synovial fluid
PASSAGE_IF_EXPANDED	4
CULTURE_CONDITIONS	10% CO2, DMEM+10%FCS+P/S
