BIOMATERIAL_PROVIDER	Anja Hillmann, Pap Lab
BIOMATERIAL_TYPE	primary cell culture
COMMENT	sister of 53_Mf05, same caging
DEEP_SAMPLE_ID	53_Mf06_LPFi_RA
DISEASE	rheumatoid arthritis
DONOR_ETHNICITY	no-data
ORGANISM	Mus musculus
STATUS	hTNF transgenic
STRAIN	C57BL/6
CELL_TYPE	fibroblast
DONOR_AGE	13 weeks
DONOR_AGE_UNIT	no-data
DONOR_HEALTH_STATUS	Rheumatoid arthritis
DONOR_ID	53_Mf06
DONOR_SEX	female
MARKERS	isolated from the synovium
POOL	no
TISSUE_TYPE	synovial fluid
SORTING_PARAMETERS	no-data
COLLECTION_METHOD	no-data
TISSUE_DEPOT	no-data
